USER_ID,ITEM_ID,TIMESTAMP
za7B0BUCPA,T9lo50YoNl,0
za7B0BUCPA,rPN4eCDi5l,1
za7B0BUCPA,KUS5VLfpnf,2
za7B0BUCPA,7yQOyj2xZb,3
za7B0BUCPA,Segk6q9pWN,4
za7B0BUCPA,lPA7RgRMtw,5
za7B0BUCPA,isDCk1b7gV,6
za7B0BUCPA,2zkrLHfLW8,7
za7B0BUCPA,aw4CCpbOlA,8
za7B0BUCPA,VeXcWv48oe,9
za7B0BUCPA,nnerWwEGBB,10
za7B0BUCPA,PqgCokL9vp,11
za7B0BUCPA,yaJg7Hvwwf,12
za7B0BUCPA,YMJctUwkcx,13
za7B0BUCPA,y5b3AJUbA1,14
za7B0BUCPA,pFq3sEjlru,15
za7B0BUCPA,pahKxeyaBL,16
za7B0BUCPA,KKgxrWFAvU,17
za7B0BUCPA,2cQETcUkAf,18
za7B0BUCPA,ZySukU1zgQ,19
za7B0BUCPA,6Df2MkE7hw,20
za7B0BUCPA,M05mkCCAl9,21
za7B0BUCPA,JioiFlqKWk,22
za7B0BUCPA,EQoaGGQ1ce,23
za7B0BUCPA,s1tw1TkUsA,24
za7B0BUCPA,q2XME9v0Ki,25
za7B0BUCPA,5VYtygsBa9,26
za7B0BUCPA,mW7v0ykFKW,27
za7B0BUCPA,Km7BO678nx,28
za7B0BUCPA,dMVlWkFdTZ,29
za7B0BUCPA,ig5A6jj25o,30
za7B0BUCPA,4vYY3sxZwB,31
za7B0BUCPA,HSLJLHK04b,32
za7B0BUCPA,Sfa06pKIcG,33
za7B0BUCPA,PuaIfQOdnj,34
za7B0BUCPA,okJO9rbJmf,35
za7B0BUCPA,80F3Bw5d6r,36
za7B0BUCPA,s1tw1TkUsA,37
za7B0BUCPA,nXVVlsStqu,38
za7B0BUCPA,coQUztfeP8,39
za7B0BUCPA,IaPfHfan56,40
za7B0BUCPA,DJQrhGzHVM,41
za7B0BUCPA,I5b6Ka8zPh,42
za7B0BUCPA,lqoDbb83ov,43
za7B0BUCPA,UjP8LM3xqS,44
za7B0BUCPA,MT7vgMmhPf,45
za7B0BUCPA,lDFvXv5yBP,46
za7B0BUCPA,fhk47mRhno,47
za7B0BUCPA,OAXc5BB63A,48
za7B0BUCPA,N4IpAztHsr,49
za7B0BUCPA,isDCk1b7gV,50
za7B0BUCPA,jyaqPczcTN,51
za7B0BUCPA,lqoDbb83ov,52
za7B0BUCPA,Mwb3JHGohg,53
